case_id,level1_category,level2_category,difficulty,gt_status,gt_error_type,gt_error_subtype,gt_label_source,gt_label_strength,baseline_status,baseline_error_type,baseline_error_subtype,baseline_error_type_raw,baseline_error_subtype_raw,baseline_error_position,baseline_label_source,sql_text,source_tier,source,source_ref,tags,notes,review_reason,review_priority
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"alter table alter_rename_partition partition (pCol1='old_part1:', pcol2='old_part2:') rename to partition (pCol1='old_part1:', pcol2='old_part2:', pcol3='old_part3:')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_rename_partition_failure3.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"alter table alter_rename_partition partition (pCol1='nonexist_part1', pcol2='nonexist_part2') rename to partition (pCol1='new_part1', pcol2='new_part2')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_rename_partition_failure.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"alter table alter_rename_partition partition (pCol1='old_part1:', pcol2='old_part2:') rename to partition (pCol1='old_part1:', pcol2='old_part2:')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_rename_partition_failure2.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"alter table stat_test set TBLPROPERTIES('numFiles'='1', 'numRows'='1', 'totalSize'='1', 'rawDataSize'='1', 'numFilesErasureCoded'='NaN')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_tableprops_non_numeric_11.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"ALTER TABLE srcpart ARCHIVE PARTITION (ds='2008-04-08', hr='12') PARTITION (ds='2008-04-08', hr='11')",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/archive4.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table exchange_partition_test_2 exchange partition (b=1) with table exchange_partition_test_1,real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/authorization_alter_table_exchange_partition_fail.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table exchange_partition_test_2 exchange partition (b=1) with table exchange_partition_test_1,real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/authorization_alter_table_exchange_partition_fail2.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,"alter table aa set serdeproperties (""input.regex"" = ""[^\\](.*)"", ""output.format.string"" = ""$1s"")",real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_table_wrong_regex.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table table2 add constraint fk1 foreign key (c) references table1(a) disable novalidate,real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_table_constraint_invalid_fk_col1.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
,DDL,ALTER_TABLE_SYNTAX,medium,fail,parse_error,,open_benchmark_clientnegative_directory,weak,pass,,,,,,local_hive_parse_sdk,alter table table2 add constraint fk1 foreign key (b) references table1(c) disable novalidate,real,apache_hive_clientnegative,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientnegative/alter_table_constraint_invalid_fk_col2.q,real;open_benchmark;ddl;fail;weak_gt,Auto-extracted from Apache Hive open-source query test suite | negative directory assertion | baseline=local_hive_parse_sdk,weak_gt_excluded_from_strict_gold,highest
