case_id,level1_category,level2_category,difficulty,gt_status,gt_error_type,gt_error_subtype,gt_label_source,gt_label_strength,baseline_status,baseline_error_type,baseline_error_subtype,baseline_error_type_raw,baseline_error_subtype_raw,baseline_error_position,baseline_label_source,sql_text,source_tier,source,source_ref,tags,notes
HIVE_REAL_001,QUERY,JOIN,medium,fail,parse_error,quoted_identifier_path_syntax,parser_unit_file_heuristic:TestSpecialCharacterInTableNamesQuotes.java,strong,fail,parse_error,quoted_identifier_path_syntax,cannot_recognize_input,quoted_identifier_path_syntax,1:98,local_hive_parse_sdk,"select ""cbo_/t3////"".c_int, c, count(*) from (select key as a, c_int+1 as b, sum(c_int) as c from ""c/b/o_t1"" where (""c/b/o_t1"".c_int + 1 >= 0) and (""c/b/o_t1"".c_int > 0 or ""c/b/o_t1"".c_float >= 0) group by c_float, ""c/b/o_t1"".c_int, key having ""c/b/o_t1"".c_float > 0 and (c_int >=1 or c_float >= 1) and (c_int + c_float) >= 0 order by b % c asc, b desc limit 5) ""c/b/o_t1"" left outer join (select key as p, c_int+1 as q, sum(c_int) as r from ""//cbo_t2"" where (""//cbo_t2"".c_int + 1 >= 0) and (""//cbo_t2"".c_int > 0 or ""//cbo_t2"".c_float >= 0) group by c_float, ""//cbo_t2"".c_int, key having ""//cbo_t2"".c_float > 0 and (c_int >=1 or c_float >= 1) and (c_int + c_float) >= 0 limit 5) ""//cbo_t2"" on ""c/b/o_t1"".a=p left outer join ""cbo_/t3////"" on ""c/b/o_t1"".a=key where (b + ""//cbo_t2"".q >= 0) and (b > 0 or c_int >= 0) group by ""cbo_/t3////"".c_int, c having ""cbo_/t3////"".c_int > 0 and (c_int >=1 or c >= 1) and (c_int + c) >= 0 order by ""cbo_/t3////"".c_int % c asc, ""cbo_/t3////"".c_int, c desc limit 5",real,apache_hive_parser_unit,https://github.com/apache/hive/blob/master/parser/src/test/org/apache/hadoop/hive/ql/parse/TestSpecialCharacterInTableNamesQuotes.java,baseline_error:parse_error;baseline_status:fail;feature:error_parse_error;feature:error_subtype_quoted_identifier_path_syntax;feature:group_by;feature:having;feature:join;feature:limit;feature:order_sort;feature:query;feature:status_fail;feature:subquery;gt_error:parse_error;gt_error_subtype:quoted_identifier_path_syntax;gt_status:fail;gt_strength:strong;level1:query;level2:join;source:apache_hive_parser_unit;tier:real,Auto-extracted from Apache Hive parser unit tests | baseline=local_hive_parse_sdk
HIVE_REAL_002,QUERY,SELECT_BASIC,easy,pass,,,open_benchmark_clientpositive_directory,strong,pass,,,,,,local_hive_parse_sdk,"select count(*) from (select key, key from src) subq",real,apache_hive_clientpositive,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientpositive/ambiguous_col.q,baseline_status:pass;feature:query;feature:select_basic;feature:status_pass;feature:subquery;gt_status:pass;gt_strength:strong;level1:query;level2:select_basic;source:apache_hive_clientpositive;tier:real,Auto-extracted from Apache Hive open-source query test suite | positive directory assertion | baseline=local_hive_parse_sdk
HIVE_REAL_003,QUERY,WHERE_FILTER,medium,fail,parse_error,quoted_identifier_path_syntax,parser_unit_file_heuristic:TestSpecialCharacterInTableNamesQuotes.java,strong,fail,parse_error,quoted_identifier_path_syntax,cannot_recognize_input,quoted_identifier_path_syntax,1:94,local_hive_parse_sdk,"select * from (select ""//cbo_t2"".key as x, c_int as c_int, (((c_int+c_float)*10)+5) as y from ""c/b/o_t1"" as ""//cbo_t2"" where ""//cbo_t2"".c_int >= 0 and c_float+c_int >= 0 or c_float <= 100) as ""c/b/o_t1"" where ""c/b/o_t1"".c_int >= 0 and y+c_int >= 0 or x <= 100",real,apache_hive_parser_unit,https://github.com/apache/hive/blob/master/parser/src/test/org/apache/hadoop/hive/ql/parse/TestSpecialCharacterInTableNamesQuotes.java,baseline_error:parse_error;baseline_status:fail;feature:error_parse_error;feature:error_subtype_quoted_identifier_path_syntax;feature:query;feature:status_fail;feature:subquery;feature:where_filter;gt_error:parse_error;gt_error_subtype:quoted_identifier_path_syntax;gt_status:fail;gt_strength:strong;level1:query;level2:where_filter;source:apache_hive_parser_unit;tier:real,Auto-extracted from Apache Hive parser unit tests | baseline=local_hive_parse_sdk
HIVE_REAL_004,QUERY,WHERE_FILTER,medium,pass,,,open_benchmark_clientpositive_directory,strong,pass,,,,,,local_hive_parse_sdk,"SELECT SUM(hash(col)) FROM (SELECT transform(*) using 'tr ""\t"" ""_""' AS col FROM (SELECT * FROM ac_test.tstsrcpart WHERE ds='2008-04-08') subq1) subq2",real,apache_hive_clientpositive,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientpositive/archive_multi.q,baseline_status:pass;feature:query;feature:status_pass;feature:subquery;feature:transform;feature:where_filter;gt_status:pass;gt_strength:strong;level1:query;level2:where_filter;source:apache_hive_clientpositive;tier:real,Auto-extracted from Apache Hive open-source query test suite | positive directory assertion | baseline=local_hive_parse_sdk
HIVE_REAL_005,QUERY,GROUP_BY,medium,fail,parse_error,quoted_identifier_path_syntax,parser_unit_file_heuristic:TestSpecialCharacterInTableNamesQuotes.java,strong,fail,parse_error,quoted_identifier_path_syntax,cannot_recognize_input,quoted_identifier_path_syntax,1:40,local_hive_parse_sdk,"select p_mfgr, p_name, avg(p_size) from ""p/a/r/t"" group by p_mfgr, p_name having p_name in (select first_value(p_name) over(partition by p_mfgr order by p_size) from ""p/a/r/t"") order by p_mfgr",real,apache_hive_parser_unit,https://github.com/apache/hive/blob/master/parser/src/test/org/apache/hadoop/hive/ql/parse/TestSpecialCharacterInTableNamesQuotes.java,baseline_error:parse_error;baseline_status:fail;feature:error_parse_error;feature:error_subtype_quoted_identifier_path_syntax;feature:group_by;feature:having;feature:order_sort;feature:query;feature:status_fail;feature:subquery;feature:window;gt_error:parse_error;gt_error_subtype:quoted_identifier_path_syntax;gt_status:fail;gt_strength:strong;level1:query;level2:group_by;source:apache_hive_parser_unit;tier:real,Auto-extracted from Apache Hive parser unit tests | baseline=local_hive_parse_sdk
HIVE_REAL_006,QUERY,ORDER_SORT,medium,pass,,,open_benchmark_clientpositive_directory,strong,pass,,,,,,local_hive_parse_sdk,"select a.key, a.value from t1_n55 a where not exists (select 1 from t2_n33 b where a.key=b.key) sort by a.key, a.value",real,apache_hive_clientpositive,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientpositive/antijoin.q,baseline_status:pass;feature:order_sort;feature:query;feature:status_pass;feature:subquery;gt_status:pass;gt_strength:strong;level1:query;level2:order_sort;source:apache_hive_clientpositive;tier:real,Auto-extracted from Apache Hive open-source query test suite | positive directory assertion | baseline=local_hive_parse_sdk
HIVE_REAL_007,QUERY,SELECT_BASIC,easy,fail,parse_error,quoted_identifier_path_syntax,parser_unit_file_heuristic:TestSpecialCharacterInTableNamesQuotes.java,strong,fail,parse_error,quoted_identifier_path_syntax,cannot_recognize_input,quoted_identifier_path_syntax,1:73,local_hive_parse_sdk,"select x from (select count(c_int) over() as x, sum(c_float) over() from ""c/b/o_t1"") ""c/b/o_t1""",real,apache_hive_parser_unit,https://github.com/apache/hive/blob/master/parser/src/test/org/apache/hadoop/hive/ql/parse/TestSpecialCharacterInTableNamesQuotes.java,baseline_error:parse_error;baseline_status:fail;feature:error_parse_error;feature:error_subtype_quoted_identifier_path_syntax;feature:query;feature:select_basic;feature:status_fail;feature:subquery;feature:window;gt_error:parse_error;gt_error_subtype:quoted_identifier_path_syntax;gt_status:fail;gt_strength:strong;level1:query;level2:select_basic;source:apache_hive_parser_unit;tier:real,Auto-extracted from Apache Hive parser unit tests | baseline=local_hive_parse_sdk
HIVE_REAL_008,QUERY,INSERT_FROM,hard,pass,,,open_benchmark_clientpositive_directory,strong,pass,,,,,,local_hive_parse_sdk,"from multiinsert_test_text_2 a insert overwrite table multiinsert_test_acid_nondi partition (c) select a.a, a.b, a.c where a.c is not null insert overwrite table multiinsert_test_acid_nondi partition (c) select a.a, a.b, a.c where a.c is null sort by a.c",real,apache_hive_clientpositive,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientpositive/acid_multiinsert_dyn_part.q,baseline_status:pass;feature:insert_from;feature:insert_overwrite;feature:order_sort;feature:partition;feature:query;feature:status_pass;feature:subquery;gt_status:pass;gt_strength:strong;level1:query;level2:insert_from;source:apache_hive_clientpositive;tier:real,Auto-extracted from Apache Hive open-source query test suite | positive directory assertion | baseline=local_hive_parse_sdk
HIVE_REAL_009,QUERY,ORDER_SORT,medium,fail,parse_error,quoted_identifier_path_syntax,parser_unit_file_heuristic:TestSpecialCharacterInTableNamesQuotes.java,strong,fail,parse_error,quoted_identifier_path_syntax,cannot_recognize_input,quoted_identifier_path_syntax,1:595,local_hive_parse_sdk,"select * from (select count(c_int) over(partition by c_float order by key), sum(c_float) over(partition by c_float order by key), max(c_int) over(partition by c_float order by key), min(c_int) over(partition by c_float order by key), row_number() over(partition by c_float order by key) as rn, rank() over(partition by c_float order by key), dense_rank() over(partition by c_float order by key), round(percent_rank() over(partition by c_float order by key),2), lead(c_int, 2, c_int) over(partition by c_float order by key ), lag(c_float, 2, c_float) over(partition by c_float order by key) from ""c/b/o_t1"" order by rn) ""c/b/o_t1""",real,apache_hive_parser_unit,https://github.com/apache/hive/blob/master/parser/src/test/org/apache/hadoop/hive/ql/parse/TestSpecialCharacterInTableNamesQuotes.java,baseline_error:parse_error;baseline_status:fail;feature:error_parse_error;feature:error_subtype_quoted_identifier_path_syntax;feature:order_sort;feature:query;feature:status_fail;feature:subquery;feature:window;gt_error:parse_error;gt_error_subtype:quoted_identifier_path_syntax;gt_status:fail;gt_strength:strong;level1:query;level2:order_sort;source:apache_hive_parser_unit;tier:real,Auto-extracted from Apache Hive parser unit tests | baseline=local_hive_parse_sdk
HIVE_REAL_010,QUERY,JOIN,medium,pass,,,open_benchmark_clientpositive_directory,strong,pass,,,,,,local_hive_parse_sdk,select key from (select v_n9.key from src_autho_test_n8 join v_n9 on src_autho_test_n8.key=v_n9.key)subq order by key limit 10,real,apache_hive_clientpositive,https://github.com/apache/hive/blob/master/ql/src/test/queries/clientpositive/authorization_view_1.q,baseline_status:pass;feature:join;feature:limit;feature:order_sort;feature:query;feature:status_pass;feature:subquery;gt_status:pass;gt_strength:strong;level1:query;level2:join;source:apache_hive_clientpositive;tier:real,Auto-extracted from Apache Hive open-source query test suite | positive directory assertion | baseline=local_hive_parse_sdk
